District Name,District Population,Residential Energy Consumption (MU/year),Residential Energy Consumption (kWh/year),Per Capita Energy Consumption (kWh/year),Source of Energy,Carbon Emission Factor (kg CO2/kWh),Carbon Emissions (kg CO2/year),Carbon Emissions (tons CO2/year),Population Density (per sq. km),Category,Sub-District,Sub-District Population,Emission Limit (kg CO2/year),Emission Limit (kg CO2/month),Low_Threshold,Moderate_Threshold,High_Threshold
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Sathiyamoorthi Nagar,32913,1506.237132,125.519761,62.7598805,112.9677849,125.519761
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Alwarpet (North),24775,1133.808068,94.48400567,47.242002835,85.03560510300001,94.48400567
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Alwarpet (South),23624,1081.133473,90.09445608,45.04722804,81.08501047200001,90.09445608
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Vadapalani (West),36192,1656.297945,138.0248288,69.0124144,124.22234592,138.0248288
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Vadapalani (East),34310,1570.16972,130.8474767,65.42373835,117.76272902999999,130.8474767
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Kalaivanar Nagar,23472,1074.177315,89.51477625,44.757388125,80.563298625,89.51477625
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Navalar Nedunchezian Nagar (East),28874,1321.395526,110.1162938,55.0581469,99.10466441999999,110.1162938
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Navalar Nedunchezian Nagar (West),25912,1185.841964,98.82016367,49.410081835,88.93814730300001,98.82016367
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,Ashok Nagar,30204,1382.261912,115.1884927,57.59424635,103.66964343,115.1884927
Chennai,4647000,623.24,623240000,134.05,CONVENTIONAL,0.75284,469110041.6,469110.04,26553,Urban,M.G.R.Nagar,25733,1177.650172,98.13751433,49.068757165,88.32376289700001,98.13751433
